class,feature,coefficient,feature_set,model_name,importance_gain,Cover,Frequency
A,tournament_lumpedKorea Cup,0.15120141020992967,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedConfederations Cup,-0.30078500119457374,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedOceania Nations Cup,0.3694402270399172,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedSAFF Cup,0.30793198014545825,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedCCCF Championship,0.0095836098410869,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedArab Cup,-0.009672421894779825,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedWindward Islands Tournament,0.04845734097281336,rating_plus_context,multinom,NA,NA,NA
A,tournament_lumpedOther,-0.15397873497454406,rating_plus_context,multinom,NA,NA,NA
A,is_friendly,0.4233427079318562,rating_plus_context,multinom,NA,NA,NA
A,is_world_cup,0.12234531753519562,rating_plus_context,multinom,NA,NA,NA
A,is_world_cup_qualifier,0.100570917053851,rating_plus_context,multinom,NA,NA,NA
A,is_continental_tournament,0.30996077292403756,rating_plus_context,multinom,NA,NA,NA
A,is_continental_qualifier,0.8782542870732859,rating_plus_context,multinom,NA,NA,NA
H,(Intercept),0.8408979880164753,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,rating_diff,0.0019560711795246874,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,home_rating_pre_match,8.466445195880818e-4,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,away_rating_pre_match,-0.0010014729674796047,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,neutral,-0.3321431761775965,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,is_friendly,-0.06932437786866105,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,is_world_cup,0.003407601363279899,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,is_world_cup_qualifier,-0.002287559387269576,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,is_continental_tournament,-0.0979649146095882,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,is_continental_qualifier,-0.08176490444259467,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedFriendly,-0.07195420962217818,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedFIFA.World.Cup.qualification,-0.0044096495170239235,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedUEFA.Euro.qualification,-0.023435520039847786,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedAfrican.Cup.of.Nations.qualification,0.2151009057362093,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedCopa.América,0.07839877133380861,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedFIFA.World.Cup,-4.93455154288862e-4,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedAfrican.Cup.of.Nations,0.015834900350020092,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedAFC.Asian.Cup.qualification,0.22285170455266973,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedCECAFA.Cup,-0.02802183680964285,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedCFU.Caribbean.Cup.qualification,-0.0697181580485625,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedMerdeka.Tournament,-0.07467896798517444,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedBritish.Home.Championship,-0.1443716339118257,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedGulf.Cup,-0.14047713089536507,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedAsian.Games,-0.04991806173944967,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedGold.Cup,0.026072420469520755,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedNordic.Championship,-0.06474619264989286,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedAFC.Asian.Cup,0.021006769283712208,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedCFU.Caribbean.Cup,0.1436147687995889,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedCOSAFA.Cup,-0.20435037540026937,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedAmílcar.Cabral.Cup,0.005494120152691863,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedUEFA.Euro,0.04152038971368467,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedKing.s.Cup,0.02345827514369817,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedAFF.Championship,-0.11034181766678308,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedSoutheast.Asian.Games,0.39109608806160695,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedCONCACAF.Championship,-0.07884638229321948,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedUNCAF.Cup,0.10944118775142755,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedSouth.Pacific.Games,-0.10823844384400247,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedCONCACAF.Championship.qualification,-0.1513739038795456,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedKorea.Cup,-0.0066992057793471916,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedConfederations.Cup,0.2836981961586231,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedOceania.Nations.Cup,0.22064006962176633,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedSAFF.Cup,-0.06005885150056252,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedCCCF.Championship,0.15811281221076917,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedArab.Cup,-0.04014993742150216,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedWindward.Islands.Tournament,0.015887905244356026,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
H,tournament_lumpedOther,0.10810964413331611,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,(Intercept),-0.5824455038719883,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,rating_diff,-9.146954660170071e-5,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,home_rating_pre_match,7.972011189521072e-5,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,away_rating_pre_match,1.5598906945516974e-4,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,neutral,-0.02547768848762127,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,is_friendly,0.034502733803355286,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,is_world_cup,-0.05992600020681254,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,is_world_cup_qualifier,0.003937846283848956,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,is_continental_tournament,0.05933910848941105,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,is_continental_qualifier,0.035604645726711785,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedFriendly,0.03636600520318994,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedFIFA.World.Cup.qualification,0.004632424204729727,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedUEFA.Euro.qualification,-0.04882958570304788,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedAfrican.Cup.of.Nations.qualification,0.1194657059799431,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedCopa.América,-0.07497035930504004,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedFIFA.World.Cup,-0.05773743164430434,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedAfrican.Cup.of.Nations,0.007396162187727446,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedAFC.Asian.Cup.qualification,-0.08332627387246432,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedCECAFA.Cup,0.03644026581711131,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedCFU.Caribbean.Cup.qualification,0.055129377375220986,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedMerdeka.Tournament,0.033318257823035546,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedBritish.Home.Championship,-0.10512286070870815,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedGulf.Cup,0.0802105179812913,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedAsian.Games,-0.20561229195242628,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedGold.Cup,-0.14647893412936253,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedNordic.Championship,-0.19150590476737575,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedAFC.Asian.Cup,0.15210531010338532,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedCFU.Caribbean.Cup,-0.13252660246090167,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedCOSAFA.Cup,0.2139979302287437,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedAmílcar.Cabral.Cup,0.24179902243069057,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedUEFA.Euro,-0.0417369948074038,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedKing.s.Cup,0.04659916086091922,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedAFF.Championship,0.04871528586605885,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedSoutheast.Asian.Games,0.04932658824079243,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedCONCACAF.Championship,0.1264419622594606,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedUNCAF.Cup,-0.01656072726135269,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedSouth.Pacific.Games,-0.1472596321588318,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedCONCACAF.Championship.qualification,0.1974311938207501,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedKorea.Cup,-0.09767813074063167,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedConfederations.Cup,-0.3455218036581692,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedOceania.Nations.Cup,-0.7287464601584165,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedSAFF.Cup,-0.10463410020879726,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedCCCF.Championship,-0.3066997664465317,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedArab.Cup,0.08423995369916795,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedWindward.Islands.Tournament,0.07684926580654369,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
D,tournament_lumpedOther,-0.04359097761022836,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,(Intercept),-0.258452484144487,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,rating_diff,-0.001864601632922987,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,home_rating_pre_match,-9.263646314832926e-4,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,away_rating_pre_match,8.454838980244349e-4,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,neutral,0.35762086466521775,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,is_friendly,0.03482164406530576,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,is_world_cup,0.056518398843532644,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,is_world_cup_qualifier,-0.0016502868965793788,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,is_continental_tournament,0.03862580612017715,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,is_continental_qualifier,0.04616025871588288,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedFriendly,0.03558820441898824,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedFIFA.World.Cup.qualification,-2.227746877058037e-4,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedUEFA.Euro.qualification,0.07226510574289566,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedAfrican.Cup.of.Nations.qualification,-0.3345666117161523,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedCopa.América,-0.0034284120287685713,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedFIFA.World.Cup,0.05823088679859321,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedAfrican.Cup.of.Nations,-0.023231062537747538,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedAFC.Asian.Cup.qualification,-0.1395254306802054,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedCECAFA.Cup,-0.008418429007468456,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedCFU.Caribbean.Cup.qualification,0.014588780673341512,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedMerdeka.Tournament,0.041360710162138895,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedBritish.Home.Championship,0.24949449462053386,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedGulf.Cup,0.060266612914073765,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedAsian.Games,0.255530353691876,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedGold.Cup,0.12040651365984179,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedNordic.Championship,0.2562520974172686,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedAFC.Asian.Cup,-0.17311207938709755,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedCFU.Caribbean.Cup,-0.011088166338687217,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedCOSAFA.Cup,-0.009647554828474321,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedAmílcar.Cabral.Cup,-0.24729314258338245,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedUEFA.Euro,2.1660509371913388e-4,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedKing.s.Cup,-0.07005743600461739,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedAFF.Championship,0.06162653180072424,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedSoutheast.Asian.Games,-0.4404226763023994,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedCONCACAF.Championship,-0.04759557996624113,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedUNCAF.Cup,-0.09288046049007485,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedSouth.Pacific.Games,0.25549807600283425,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedCONCACAF.Championship.qualification,-0.04605728994120454,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedKorea.Cup,0.10437733651997887,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedConfederations.Cup,0.061823607499546115,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedOceania.Nations.Cup,0.5081063905366501,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedSAFF.Cup,0.1646929517093598,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedCCCF.Championship,0.14858695423576251,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedArab.Cup,-0.04409001627766579,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedWindward.Islands.Tournament,-0.09273717105089972,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
A,tournament_lumpedOther,-0.06451866652308776,rating_plus_context,glmnet_multinomial_ridge,NA,NA,NA
NA,rating_diff,NA,rating_plus_context,lightgbm,0.8456958572456632,0.4366812136361683,0.35555555555555557
NA,neutral,NA,rating_plus_context,lightgbm,0.040272451873018575,0.07906058386289522,0.10872359963269054
